0;40.00
1;40.67
2;41.33
3;42.00
4;42.67
5;43.33
6;44.00
7;44.67
8;45.33
9;46.00
10;46.67
11;47.33
12;48.00
13;48.67
14;49.33
15;50.00
16;50.67
17;51.33
18;52.00
19;52.67
20;53.33
21;54.00
22;54.67
23;55.33
24;56.00
25;56.67
26;57.33
27;58.00
28;58.67
29;59.33
30;60.00
31;60.67
32;61.33
33;62.00
34;62.67
35;63.33
36;64.00
37;64.67
38;65.33
39;66.00
40;66.67
41;67.33
42;68.00
43;68.67
44;69.33
45;70.00
46;70.67
47;71.33
48;72.00
49;72.67
50;73.33
51;74.00
52;74.67
53;75.33
54;76.00
55;76.67
56;77.33
57;78.00
58;78.67
59;79.33
60;80.00
61;80.67
62;81.33
63;82.00
64;82.67
65;83.33
66;84.00
67;84.67
68;85.33
69;86.00
70;86.67
71;87.33
72;88.00
73;88.67
74;89.33
75;90.00
76;90.67
77;91.33
78;92.00
79;92.67
80;93.33
81;94.00
82;94.67
83;95.33
84;96.00
85;96.67
86;97.33
87;98.00
88;98.67
89;99.33
90;100.00
91;99.33
92;98.67
93;98.00
94;97.33
95;96.67
96;96.00
97;95.33
98;94.67
99;94.00
100;93.33
101;92.67
102;92.00
103;91.33
104;90.67
105;90.00
106;89.33
107;88.67
108;88.00
109;87.33
110;86.67
111;86.00
112;85.33
113;84.67
114;84.00
115;83.33
116;82.67
117;82.00
118;81.33
119;80.67
120;80.00
